team,year,wins,games,takeaways,giveaways,to_diff,takeaway_rank,giveaway_rank,to_diff_rank
BUF,2017,9,16,25,16,9,9.5,6.0,7.0
CAR,2017,11,16,21,22,-1,16.5,16.0,16.5
CHI,2017,5,16,22,22,0,13.5,16.0,15.0
CIN,2017,7,16,13,23,-10,31.5,20.0,27.0
CLE,2017,0,16,13,41,-28,31.5,32.0,32.0
DAL,2017,9,16,20,22,-2,20.5,16.0,18.5
DEN,2017,5,16,17,34,-17,25.5,31.0,31.0
DET,2017,9,16,32,22,10,3.0,16.0,5.0
GB,2017,7,16,21,25,-4,16.5,24.0,24.0
HOU,2017,4,16,16,28,-12,27.5,28.5,28.0
IND,2017,4,16,20,15,5,20.5,4.5,12.0
JAX,2017,10,16,33,23,10,2.0,20.0,5.0
KC,2017,10,16,26,11,15,7.5,1.0,2.0
LA,2017,11,16,28,21,7,5.0,13.0,8.5
LAC,2017,9,16,27,15,12,6.0,4.5,3.0
LV,2017,6,16,14,28,-14,30.0,28.5,29.5
MIA,2017,6,16,15,29,-14,29.0,30.0,29.5
MIN,2017,13,16,19,14,5,23.5,3.0,12.0
NE,2017,13,16,17,12,5,25.5,2.0,12.0
NO,2017,11,16,25,18,7,9.5,9.5,8.5
NYG,2017,3,16,19,22,-3,23.5,16.0,20.5
NYJ,2017,5,16,20,24,-4,20.5,22.0,24.0
PHI,2017,13,16,30,20,10,4.0,11.5,5.0
PIT,2017,13,16,22,20,2,13.5,11.5,14.0
SEA,2017,9,16,23,17,6,11.5,7.5,10.0
SF,2017,6,16,20,23,-3,20.5,20.0,20.5
TB,2017,5,16,26,27,-1,7.5,26.5,16.5
TEN,2017,9,16,21,25,-4,16.5,24.0,24.0
WAS,2017,7,16,23,27,-4,11.5,26.5,24.0
ARI,2018,3,16,16,28,-12,28.0,27.0,29.5
ATL,2018,7,16,19,18,1,20.0,8.5,16.0
BAL,2018,10,16,17,20,-3,24.5,16.5,22.0
BUF,2018,6,16,27,32,-5,8.0,30.5,23.5
CAR,2018,7,16,22,22,0,14.0,19.0,19.0
CHI,2018,12,16,36,24,12,1.0,23.5,3.0
CIN,2018,6,16,18,17,1,21.0,5.5,16.0
CLE,2018,7,16,31,24,7,2.0,23.5,8.5
DAL,2018,10,16,20,17,3,17.5,5.5,12.0
DEN,2018,6,16,27,21,6,8.0,18.0,10.0
DET,2018,6,16,14,19,-5,31.0,13.0,23.5
GB,2018,6,16,15,15,0,29.5,2.0,19.0
HOU,2018,11,16,29,16,13,4.0,3.5,2.0
IND,2018,10,16,26,24,2,11.0,23.5,13.5
JAX,2018,5,16,17,29,-12,24.5,28.0,29.5
KC,2018,12,16,27,18,9,8.0,8.5,6.0
LA,2018,13,16,30,19,11,3.0,13.0,4.0
LAC,2018,12,16,20,19,1,17.5,13.0,16.0
LV,2018,4,16,17,24,-7,24.5,23.5,26.0
MIA,2018,7,16,28,23,5,5.5,20.5,11.0
MIN,2018,8,16,20,20,0,17.5,16.5,19.0
NE,2018,11,16,28,18,10,5.5,8.5,5.0
NO,2018,13,16,24,16,8,13.0,3.5,7.0
NYG,2018,5,16,21,19,2,15.0,13.0,13.5
NYJ,2018,4,16,20,30,-10,17.5,29.0,27.0
PHI,2018,9,16,17,23,-6,24.5,20.5,25.0
PIT,2018,9,16,15,26,-11,29.5,26.0,28.0
SEA,2018,10,16,26,11,15,11.0,1.0,1.0
SF,2018,4,16,7,32,-25,32.0,30.5,32.0
TB,2018,5,16,17,35,-18,24.5,32.0,31.0
TEN,2018,9,16,17,18,-1,24.5,8.5,21.0
WAS,2018,7,16,26,19,7,11.0,13.0,8.5
ARI,2019,5,16,17,18,-1,25.5,9.5,19.0
ATL,2019,7,16,20,25,-5,20.0,23.5,24.5
BAL,2019,14,16,25,15,10,7.0,4.0,6.0
BUF,2019,10,16,23,19,4,12.0,11.5,10.5
CAR,2019,5,16,21,35,-14,17.5,31.0,29.5
CHI,2019,8,16,19,19,0,22.5,11.5,15.5
CIN,2019,2,16,16,30,-14,28.5,27.5,29.5
CLE,2019,6,16,20,28,-8,20.0,26.0,26.0
DAL,2019,8,16,17,18,-1,25.5,9.5,19.0
DEN,2019,7,16,16,16,0,28.5,6.0,15.5
DET,2019,3,16,18,23,-5,24.0,20.0,24.5
GB,2019,13,16,24,13,11,8.5,2.0,4.5
HOU,2019,10,16,22,22,0,15.5,18.0,15.5
IND,2019,7,16,23,21,2,12.0,16.5,12.0
JAX,2019,6,16,19,20,-1,22.5,14.0,19.0
KC,2019,12,16,23,15,8,12.0,4.0,7.5
LA,2019,9,16,24,24,0,8.5,22.0,15.5
LAC,2019,5,16,14,31,-17,32.0,29.0,31.5
LV,2019,7,16,15,17,-2,31.0,7.5,21.0
MIA,2019,5,16,16,26,-10,28.5,25.0,27.0
MIN,2019,10,16,31,20,11,4.0,14.0,4.5
NE,2019,12,16,36,15,21,2.0,4.0,1.0
NO,2019,13,16,23,8,15,12.0,1.0,2.0
NYG,2019,4,16,16,33,-17,28.5,30.0,31.5
NYJ,2019,7,16,21,25,-4,17.5,23.5,23.0
PHI,2019,9,16,20,23,-3,20.0,20.0,22.0
PIT,2019,8,16,38,30,8,1.0,27.5,7.5
SEA,2019,11,16,32,20,12,3.0,14.0,3.0
SF,2019,13,16,27,23,4,6.0,20.0,10.5
TB,2019,7,16,28,41,-13,5.0,32.0,28.0
TEN,2019,9,16,23,17,6,12.0,7.5,9.0
WAS,2019,3,16,22,21,1,15.5,16.5,13.0
ARI,2020,8,16,21,21,0,19.0,18.0,18.0
ATL,2020,4,16,21,18,3,19.0,11.0,14.0
BAL,2020,11,16,22,18,4,13.0,11.0,11.0
BUF,2020,13,16,26,22,4,3.5,21.0,11.0
CAR,2020,5,16,22,21,1,13.0,18.0,16.0
CHI,2020,8,16,18,22,-4,25.5,21.0,23.0
CIN,2020,4,16,17,24,-7,27.5,24.0,25.0
CLE,2020,11,16,21,16,5,19.0,5.0,9.0
DAL,2020,6,16,22,26,-4,13.0,27.5,23.0
DEN,2020,5,16,16,32,-16,29.0,32.0,32.0
DET,2020,5,16,12,21,-9,31.0,18.0,27.5
GB,2020,13,16,18,11,7,25.5,1.0,7.0
HOU,2020,4,16,9,18,-9,32.0,11.0,27.5
IND,2020,11,16,25,15,10,5.5,3.0,2.0
JAX,2020,1,16,17,25,-8,27.5,25.5,26.0
KC,2020,14,16,22,16,6,13.0,5.0,8.0
LA,2020,10,16,22,25,-3,13.0,25.5,21.0
LAC,2020,7,16,19,16,3,23.0,5.0,14.0
LV,2020,8,16,15,26,-11,30.0,27.5,30.5
MIA,2020,10,16,28,20,8,1.0,16.0,5.5
MIN,2020,7,16,22,23,-1,13.0,23.0,20.0
NE,2020,7,16,22,19,3,13.0,14.5,14.0
NO,2020,12,16,26,17,9,3.5,7.5,3.5
NYG,2020,6,16,22,22,0,13.0,21.0,18.0
NYJ,2020,2,16,19,19,0,23.0,14.5,18.0
PHI,2020,4,16,19,29,-10,23.0,30.0,29.0
PIT,2020,12,16,27,18,9,2.0,11.0,3.5
SEA,2020,12,16,22,18,4,13.0,11.0,11.0
SF,2020,6,16,20,31,-11,21.0,31.0,30.5
TB,2020,11,16,25,17,8,5.5,7.5,5.5
TEN,2020,11,16,23,12,11,7.5,2.0,1.0
WAS,2020,7,16,23,27,-4,7.5,29.0,23.0
ARI,2021,11,17,27,15,12,7.0,4.0,4.0
ATL,2021,7,17,20,26,-6,19.5,26.0,24.5
BAL,2021,8,17,15,26,-11,29.5,26.0,28.0
BUF,2021,11,17,30,22,8,3.5,14.5,7.0
CAR,2021,5,17,16,29,-13,27.0,30.0,30.0
CHI,2021,6,17,16,29,-13,27.0,30.0,30.0
CIN,2021,10,17,21,21,0,17.5,12.0,17.0
CLE,2021,8,17,19,22,-3,22.0,14.5,20.5
DAL,2021,12,17,34,20,14,1.0,10.5,1.5
DEN,2021,7,17,19,18,1,22.0,6.5,15.0
DET,2021,3,17,19,23,-4,22.0,18.0,22.5
GB,2021,13,17,26,13,13,8.5,2.0,3.0
HOU,2021,4,17,25,22,3,11.0,14.5,12.0
IND,2021,9,17,33,19,14,2.0,8.5,1.5
JAX,2021,3,17,9,29,-20,32.0,30.0,32.0
KC,2021,12,17,29,25,4,5.5,23.5,11.0
LA,2021,12,17,25,23,2,11.0,18.0,13.5
LAC,2021,9,17,21,22,-1,17.5,14.5,19.0
LV,2021,10,17,15,24,-9,29.5,21.0,27.0
MIA,2021,9,17,26,26,0,8.5,26.0,17.0
MIN,2021,8,17,24,13,11,13.0,2.0,5.0
NE,2021,10,17,30,23,7,3.5,18.0,8.5
NO,2021,9,17,25,18,7,11.0,6.5,8.5
NYG,2021,4,17,22,30,-8,15.0,32.0,26.0
NYJ,2021,4,17,14,27,-13,31.0,28.0,30.0
PHI,2021,9,17,16,16,0,27.0,5.0,17.0
PIT,2021,9,17,22,20,2,15.0,10.5,13.5
SEA,2021,7,17,18,13,5,24.5,2.0,10.0
SF,2021,10,17,20,24,-4,19.5,21.0,22.5
TB,2021,13,17,29,19,10,5.5,8.5,6.0
TEN,2021,12,17,22,25,-3,15.0,23.5,20.5
WAS,2021,7,17,18,24,-6,24.5,21.0,24.5
ARI,2022,4,17,20,25,-5,22.0,28.0,26.5
ATL,2022,7,17,17,21,-4,27.5,10.5,24.5
BAL,2022,10,17,25,21,4,9.0,10.5,9.5
BUF,2022,13,16,27,27,0,5.5,30.0,15.0
CAR,2022,7,17,17,21,-4,27.5,10.5,24.5
CHI,2022,3,17,23,25,-2,15.0,28.0,20.5
CIN,2022,12,16,24,18,6,12.0,4.0,6.0
CLE,2022,7,17,20,21,-1,22.0,10.5,17.5
DAL,2022,12,17,33,23,10,1.0,21.0,2.0
DEN,2022,5,17,23,24,-1,15.0,26.0,17.5
DET,2022,9,17,22,15,7,17.5,1.0,4.5
GB,2022,8,17,24,22,2,12.0,15.0,13.0
HOU,2022,3,17,27,28,-1,5.5,31.0,17.5
IND,2022,4,17,21,34,-13,19.0,32.0,32.0
JAX,2022,9,17,27,22,5,5.5,15.0,7.5
KC,2022,14,17,20,23,-3,22.0,21.0,22.5
LA,2022,5,17,22,23,-1,17.5,21.0,17.5
LAC,2022,10,17,24,19,5,12.0,6.0,7.5
LV,2022,6,17,13,21,-8,32.0,10.5,30.0
MIA,2022,9,17,14,21,-7,30.5,10.5,28.5
MIN,2022,13,17,25,23,2,9.0,21.0,13.0
NE,2022,8,17,30,23,7,2.5,21.0,4.5
NO,2022,7,17,14,25,-11,30.5,28.0,31.0
NYG,2022,9,17,19,16,3,25.0,2.0,11.0
NYJ,2022,7,17,16,23,-7,29.0,21.0,28.5
PHI,2022,14,17,27,19,8,5.5,6.0,3.0
PIT,2022,9,17,23,19,4,15.0,6.0,9.5
SEA,2022,9,17,25,23,2,9.0,21.0,13.0
SF,2022,13,17,30,17,13,2.5,3.0,1.0
TB,2022,8,17,20,22,-2,22.0,15.0,20.5
TEN,2022,7,17,20,23,-3,22.0,21.0,22.5
WAS,2022,8,17,18,23,-5,26.0,21.0,26.5
ARI,2023,4,17,17,18,-1,27.0,8.5,18.5
ATL,2023,7,17,16,28,-12,29.0,24.5,30.5
BAL,2023,13,17,31,19,12,1.5,12.5,1.5
BUF,2023,11,17,30,28,2,3.0,24.5,13.5
CAR,2023,2,17,11,20,-9,32.0,14.5,25.5
CHI,2023,7,17,28,25,3,6.0,21.5,11.0
CIN,2023,9,17,26,16,10,13.0,3.0,6.5
CLE,2023,11,17,28,37,-9,6.0,32.0,25.5
DAL,2023,12,17,26,16,10,13.0,3.0,6.5
DEN,2023,8,17,26,22,4,13.0,17.5,10.0
DET,2023,12,17,22,23,-1,19.0,19.0,18.5
GB,2023,9,17,18,18,0,24.0,8.5,16.5
HOU,2023,10,17,24,14,10,16.5,1.0,6.5
IND,2023,9,17,24,22,2,16.5,17.5,13.5
JAX,2023,9,17,27,30,-3,9.5,28.0,21.5
KC,2023,11,17,17,28,-11,27.0,24.5,28.0
LA,2023,10,17,15,18,-3,30.0,8.5,21.5
LAC,2023,5,17,21,21,0,21.0,16.0,16.5
LV,2023,8,17,22,24,-2,19.0,20.0,20.0
MIA,2023,11,17,27,25,2,9.5,21.5,13.5
MIN,2023,7,17,22,34,-12,19.0,31.0,30.5
NE,2023,4,17,18,29,-11,24.0,27.0,28.0
NO,2023,9,17,29,18,11,4.0,8.5,3.5
NYG,2023,6,17,31,19,12,1.5,12.5,1.5
NYJ,2023,7,17,27,33,-6,9.5,30.0,23.5
PHI,2023,11,17,17,28,-11,27.0,24.5,28.0
PIT,2023,10,17,27,16,11,9.5,3.0,3.5
SEA,2023,9,17,19,17,2,22.0,5.0,13.5
SF,2023,12,17,28,18,10,6.0,8.5,6.5
TB,2023,9,17,25,18,7,15.0,8.5,9.0
TEN,2023,6,17,14,20,-6,31.0,14.5,23.5
WAS,2023,4,17,18,32,-14,24.0,29.0,32.0
ARI,2024,8,17,17,20,-3,22.5,16.0,18.0
ATL,2024,8,17,18,24,-6,17.0,25.0,24.0
BAL,2024,12,17,17,11,6,22.5,3.0,11.0
BUF,2024,13,17,32,8,24,3.0,1.0,1.0
CAR,2024,5,17,17,22,-5,22.5,19.5,21.0
CHI,2024,5,17,24,16,8,10.0,8.5,9.0
CIN,2024,9,17,25,22,3,7.5,19.5,14.0
CLE,2024,3,17,12,34,-22,30.5,31.5,32.0
DAL,2024,7,17,22,28,-6,12.0,28.0,24.0
DEN,2024,10,17,24,19,5,10.0,13.0,13.0
DET,2024,15,17,24,15,9,10.0,6.5,7.5
GB,2024,11,17,31,19,12,4.0,13.0,4.0
HOU,2024,10,17,28,19,9,5.0,13.0,7.5
IND,2024,8,17,25,29,-4,7.5,29.5,19.0
JAX,2024,4,17,9,24,-15,32.0,25.0,29.0
KC,2024,15,17,20,14,6,14.5,4.5,11.0
LA,2024,10,17,20,14,6,14.5,4.5,11.0
LAC,2024,11,17,21,9,12,13.0,2.0,4.0
LV,2024,4,17,13,29,-16,29.0,29.5,30.0
MIA,2024,8,17,16,21,-5,27.0,17.5,21.0
MIN,2024,14,17,33,21,12,1.5,17.5,4.0
NE,2024,4,17,12,23,-11,30.5,22.0,28.0
NO,2024,5,17,17,19,-2,22.5,13.0,16.5
NYG,2024,3,17,15,23,-8,28.0,22.0,26.0
NYJ,2024,5,17,17,19,-2,22.5,13.0,16.5
PHI,2024,14,17,26,15,11,6.0,6.5,6.0
PIT,2024,10,17,33,17,16,1.5,10.0,2.0
SEA,2024,10,17,18,24,-6,17.0,25.0,24.0
SF,2024,6,17,17,27,-10,22.5,27.0,27.0
TB,2024,10,17,18,23,-5,17.0,22.0,21.0
TEN,2024,3,17,17,34,-17,22.5,31.5,31.0
WAS,2024,12,17,17,16,1,22.5,8.5,15.0
ARI,2025,3,17,19,21,-2,20.0,18.0,16.5
ATL,2025,8,17,23,18,5,8.0,13.5,8.0
BAL,2025,8,17,20,23,-3,16.0,23.5,20.0
BUF,2025,12,17,20,19,1,16.0,15.5,12.5
CAR,2025,8,17,21,23,-2,11.5,23.5,16.5
CHI,2025,11,17,33,11,22,1.0,1.0,1.0
CIN,2025,6,17,20,24,-4,16.0,28.0,23.0
CLE,2025,5,17,18,25,-7,22.0,30.0,27.5
DAL,2025,7,17,12,21,-9,30.0,18.0,29.5
DEN,2025,14,17,14,17,-3,27.0,11.5,20.0
DET,2025,9,17,19,15,4,20.0,6.0,9.0
GB,2025,9,17,14,13,1,27.0,3.0,12.5
HOU,2025,12,17,29,12,17,3.0,2.0,2.0
IND,2025,8,17,21,23,-2,11.5,23.5,16.5
JAX,2025,13,17,31,18,13,2.0,13.5,3.0
KC,2025,6,17,14,15,-1,27.0,6.0,14.0
LA,2025,12,17,25,15,10,5.5,6.0,5.0
LAC,2025,11,17,23,21,2,8.0,18.0,11.0
LV,2025,3,17,16,23,-7,23.5,23.5,27.5
MIA,2025,7,17,20,24,-4,16.0,28.0,23.0
MIN,2025,9,17,21,30,-9,11.5,32.0,29.5
NE,2025,14,17,19,16,3,20.0,9.5,10.0
NO,2025,6,17,20,24,-4,16.0,28.0,23.0
NYG,2025,4,17,15,17,-2,25.0,11.5,16.5
NYJ,2025,3,17,4,23,-19,32.0,23.5,32.0
PHI,2025,11,17,21,15,6,11.5,6.0,7.0
PIT,2025,10,17,27,15,12,4.0,6.0,4.0
SEA,2025,14,17,25,28,-3,5.5,31.0,20.0
SF,2025,12,17,16,22,-6,23.5,20.0,25.5
TB,2025,8,17,23,16,7,8.0,9.5,6.0
TEN,2025,3,17,13,19,-6,29.0,15.5,25.5
WAS,2025,5,17,10,23,-13,31.0,23.5,31.0
